Scenario,Replication,Object Type,Object Name,Data Source,Time Period,Category,Data Item,Statistic Type,Value,,,,,,,,,
Scenario1,1,ModelEntity,DefaultEntity,[Population],Run,FlowTime,TimeInSystem,Average,0.02244061,1.346436599,,Sample mean,1.349884593,,,,,
Scenario1,2,ModelEntity,DefaultEntity,[Population],Run,FlowTime,TimeInSystem,Average,0.022441036,1.346462166,,Sample std,0.004648301,,,,,
Scenario1,3,ModelEntity,DefaultEntity,[Population],Run,FlowTime,TimeInSystem,Average,0.022521727,1.351303595,,Std error,0.001469922,,,,,
Scenario1,4,ModelEntity,DefaultEntity,[Population],Run,FlowTime,TimeInSystem,Average,0.022598254,1.355895252,,H,0.003325194,,,,,
Scenario1,5,ModelEntity,DefaultEntity,[Population],Run,FlowTime,TimeInSystem,Average,0.022547958,1.352877466,,CI Lower,1.346559399,,,,,
Scenario1,6,ModelEntity,DefaultEntity,[Population],Run,FlowTime,TimeInSystem,Average,0.022531152,1.351869137,,CI Upper,1.353209787,,,,,
Scenario1,7,ModelEntity,DefaultEntity,[Population],Run,FlowTime,TimeInSystem,Average,0.022581944,1.35491662,,,,,,,,
Scenario1,8,ModelEntity,DefaultEntity,[Population],Run,FlowTime,TimeInSystem,Average,0.022463359,1.347801569,,,,,,,,
Scenario1,9,ModelEntity,DefaultEntity,[Population],Run,FlowTime,TimeInSystem,Average,0.022514092,1.350845504,,,,,,,,
Scenario1,10,ModelEntity,DefaultEntity,[Population],Run,FlowTime,TimeInSystem,Average,0.022340634,1.340438021,,,,,,,,
Scenario2,1,ModelEntity,DefaultEntity,[Population],Run,FlowTime,TimeInSystem,Average,0.021605005,1.296300283,,Sample mean,1.307419593,,-0.017569774,,Sample mean,-0.020167406
Scenario2,2,ModelEntity,DefaultEntity,[Population],Run,FlowTime,TimeInSystem,Average,0.021830893,1.309853595,,Sample std,0.004855243,,-0.019067904,,Sample std,0.003547447
Scenario2,3,ModelEntity,DefaultEntity,[Population],Run,FlowTime,TimeInSystem,Average,0.02187572,1.312543188,,Std error,0.001535363,,-0.020552761,,Std error,0.001121801
Scenario2,4,ModelEntity,DefaultEntity,[Population],Run,FlowTime,TimeInSystem,Average,0.021772822,1.306369327,,H,0.003473232,,-0.028147153,,H,0.002537691
Scenario2,5,ModelEntity,DefaultEntity,[Population],Run,FlowTime,TimeInSystem,Average,0.021726565,1.303593924,,CI Lower,1.303946361,,-0.018201794,,CI Lower,-0.022705097
Scenario2,6,ModelEntity,DefaultEntity,[Population],Run,FlowTime,TimeInSystem,Average,0.021857537,1.311452238,,CI Upper,1.310892825,,-0.024675886,,CI Upper,-0.017629715
Scenario2,7,ModelEntity,DefaultEntity,[Population],Run,FlowTime,TimeInSystem,Average,0.021867916,1.312074948,,,,,-0.01818208,,,
Scenario2,8,ModelEntity,DefaultEntity,[Population],Run,FlowTime,TimeInSystem,Average,0.021798159,1.307889511,,,,,-0.017519002,,,
Scenario2,9,ModelEntity,DefaultEntity,[Population],Run,FlowTime,TimeInSystem,Average,0.021801774,1.308106424,,,,,-0.020105982,,,
Scenario2,10,ModelEntity,DefaultEntity,[Population],Run,FlowTime,TimeInSystem,Average,0.021766875,1.306012489,,,,,-0.017651728,,,
Scenario3,1,ModelEntity,DefaultEntity,[Population],Run,FlowTime,TimeInSystem,Average,0.023243885,1.394633086,,Sample mean,1.404159473,,,,,
Scenario3,2,ModelEntity,DefaultEntity,[Population],Run,FlowTime,TimeInSystem,Average,0.023353491,1.401209457,,Sample std,0.005196635,,,,,
Scenario3,3,ModelEntity,DefaultEntity,[Population],Run,FlowTime,TimeInSystem,Average,0.023462767,1.407765998,,Std error,0.00164332,,,,,
Scenario3,4,ModelEntity,DefaultEntity,[Population],Run,FlowTime,TimeInSystem,Average,0.023520367,1.41122201,,H,0.003717449,,,,,
Scenario3,5,ModelEntity,DefaultEntity,[Population],Run,FlowTime,TimeInSystem,Average,0.023397795,1.403867719,,CI Lower,1.400442024,,,,,
Scenario3,6,ModelEntity,DefaultEntity,[Population],Run,FlowTime,TimeInSystem,Average,0.02341392,1.404835208,,CI Upper,1.407876922,,,,,
Scenario3,7,ModelEntity,DefaultEntity,[Population],Run,FlowTime,TimeInSystem,Average,0.023475487,1.408529223,,,,,,,,
Scenario3,8,ModelEntity,DefaultEntity,[Population],Run,FlowTime,TimeInSystem,Average,0.023450746,1.407044742,,,,,,,,
Scenario3,9,ModelEntity,DefaultEntity,[Population],Run,FlowTime,TimeInSystem,Average,0.023424514,1.405470865,,,,,,,,
Scenario3,10,ModelEntity,DefaultEntity,[Population],Run,FlowTime,TimeInSystem,Average,0.023283607,1.397016427,,,,,,,,
Scenario4,1,ModelEntity,DefaultEntity,[Population],Run,FlowTime,TimeInSystem,Average,0.021897834,1.313870058,,Sample mean,1.327586999,,,,,
Scenario4,2,ModelEntity,DefaultEntity,[Population],Run,FlowTime,TimeInSystem,Average,0.022148692,1.328921499,,Sample std,0.006687015,,,,,
Scenario4,3,ModelEntity,DefaultEntity,[Population],Run,FlowTime,TimeInSystem,Average,0.022218266,1.333095949,,Std error,0.00211462,,,,,
Scenario4,4,ModelEntity,DefaultEntity,[Population],Run,FlowTime,TimeInSystem,Average,0.022241941,1.33451648,,H,0.004783603,,,,,
Scenario4,5,ModelEntity,DefaultEntity,[Population],Run,FlowTime,TimeInSystem,Average,0.022029929,1.321795718,,CI Lower,1.322803397,,,,,
Scenario4,6,ModelEntity,DefaultEntity,[Population],Run,FlowTime,TimeInSystem,Average,0.022268802,1.336128124,,CI Upper,1.332370602,,,,,
Scenario4,7,ModelEntity,DefaultEntity,[Population],Run,FlowTime,TimeInSystem,Average,0.02217095,1.330257028,,,,,,,,
Scenario4,8,ModelEntity,DefaultEntity,[Population],Run,FlowTime,TimeInSystem,Average,0.022090142,1.325408513,,,,,,,,
Scenario4,9,ModelEntity,DefaultEntity,[Population],Run,FlowTime,TimeInSystem,Average,0.022136873,1.328212406,,,,,,,,
Scenario4,10,ModelEntity,DefaultEntity,[Population],Run,FlowTime,TimeInSystem,Average,0.02206107,1.323664217,,,,,,,,
