Scenario,Replication,Object Type,Object Name,Data Source,Time Period,Category,Data Item,Statistic Type,Value
Scenario1,1,Model,Model,TIS_User,Run,UserSpecified,TallyValue,Average,NaN
Scenario1,2,Model,Model,TIS_User,Run,UserSpecified,TallyValue,Average,NaN
Scenario1,3,Model,Model,TIS_User,Run,UserSpecified,TallyValue,Average,NaN
Scenario1,4,Model,Model,TIS_User,Run,UserSpecified,TallyValue,Average,NaN
Scenario1,5,Model,Model,TIS_User,Run,UserSpecified,TallyValue,Average,NaN
Scenario1,6,Model,Model,TIS_User,Run,UserSpecified,TallyValue,Average,NaN
Scenario1,7,Model,Model,TIS_User,Run,UserSpecified,TallyValue,Average,NaN
Scenario1,8,Model,Model,TIS_User,Run,UserSpecified,TallyValue,Average,NaN
Scenario1,9,Model,Model,TIS_User,Run,UserSpecified,TallyValue,Average,NaN
Scenario1,10,Model,Model,TIS_User,Run,UserSpecified,TallyValue,Average,NaN
Scenario1,1,Model,Model,TIS_User,Run,UserSpecified,TallyValue,HalfWidth,NaN
Scenario1,2,Model,Model,TIS_User,Run,UserSpecified,TallyValue,HalfWidth,NaN
Scenario1,3,Model,Model,TIS_User,Run,UserSpecified,TallyValue,HalfWidth,NaN
Scenario1,4,Model,Model,TIS_User,Run,UserSpecified,TallyValue,HalfWidth,NaN
Scenario1,5,Model,Model,TIS_User,Run,UserSpecified,TallyValue,HalfWidth,NaN
Scenario1,6,Model,Model,TIS_User,Run,UserSpecified,TallyValue,HalfWidth,NaN
Scenario1,7,Model,Model,TIS_User,Run,UserSpecified,TallyValue,HalfWidth,NaN
Scenario1,8,Model,Model,TIS_User,Run,UserSpecified,TallyValue,HalfWidth,NaN
Scenario1,9,Model,Model,TIS_User,Run,UserSpecified,TallyValue,HalfWidth,NaN
Scenario1,10,Model,Model,TIS_User,Run,UserSpecified,TallyValue,HalfWidth,NaN
Scenario1,1,Model,Model,TIS_User,Run,UserSpecified,TallyValue,Maximum,NaN
Scenario1,2,Model,Model,TIS_User,Run,UserSpecified,TallyValue,Maximum,NaN
Scenario1,3,Model,Model,TIS_User,Run,UserSpecified,TallyValue,Maximum,NaN
Scenario1,4,Model,Model,TIS_User,Run,UserSpecified,TallyValue,Maximum,NaN
Scenario1,5,Model,Model,TIS_User,Run,UserSpecified,TallyValue,Maximum,NaN
Scenario1,6,Model,Model,TIS_User,Run,UserSpecified,TallyValue,Maximum,NaN
Scenario1,7,Model,Model,TIS_User,Run,UserSpecified,TallyValue,Maximum,NaN
Scenario1,8,Model,Model,TIS_User,Run,UserSpecified,TallyValue,Maximum,NaN
Scenario1,9,Model,Model,TIS_User,Run,UserSpecified,TallyValue,Maximum,NaN
Scenario1,10,Model,Model,TIS_User,Run,UserSpecified,TallyValue,Maximum,NaN
Scenario1,1,Model,Model,TIS_User,Run,UserSpecified,TallyValue,Minimum,NaN
Scenario1,2,Model,Model,TIS_User,Run,UserSpecified,TallyValue,Minimum,NaN
Scenario1,3,Model,Model,TIS_User,Run,UserSpecified,TallyValue,Minimum,NaN
Scenario1,4,Model,Model,TIS_User,Run,UserSpecified,TallyValue,Minimum,NaN
Scenario1,5,Model,Model,TIS_User,Run,UserSpecified,TallyValue,Minimum,NaN
Scenario1,6,Model,Model,TIS_User,Run,UserSpecified,TallyValue,Minimum,NaN
Scenario1,7,Model,Model,TIS_User,Run,UserSpecified,TallyValue,Minimum,NaN
Scenario1,8,Model,Model,TIS_User,Run,UserSpecified,TallyValue,Minimum,NaN
Scenario1,9,Model,Model,TIS_User,Run,UserSpecified,TallyValue,Minimum,NaN
Scenario1,10,Model,Model,TIS_User,Run,UserSpecified,TallyValue,Minimum,NaN
Scenario1,1,Model,Model,TIS_User,Run,UserSpecified,TallyValue,Observations,0
Scenario1,2,Model,Model,TIS_User,Run,UserSpecified,TallyValue,Observations,0
Scenario1,3,Model,Model,TIS_User,Run,UserSpecified,TallyValue,Observations,0
Scenario1,4,Model,Model,TIS_User,Run,UserSpecified,TallyValue,Observations,0
Scenario1,5,Model,Model,TIS_User,Run,UserSpecified,TallyValue,Observations,0
Scenario1,6,Model,Model,TIS_User,Run,UserSpecified,TallyValue,Observations,0
Scenario1,7,Model,Model,TIS_User,Run,UserSpecified,TallyValue,Observations,0
Scenario1,8,Model,Model,TIS_User,Run,UserSpecified,TallyValue,Observations,0
Scenario1,9,Model,Model,TIS_User,Run,UserSpecified,TallyValue,Observations,0
Scenario1,10,Model,Model,TIS_User,Run,UserSpecified,TallyValue,Observations,0
Scenario1,1,Model,Model,[Object],Run,Costs,TotalCost,Total,0
Scenario1,2,Model,Model,[Object],Run,Costs,TotalCost,Total,0
Scenario1,3,Model,Model,[Object],Run,Costs,TotalCost,Total,0
Scenario1,4,Model,Model,[Object],Run,Costs,TotalCost,Total,0
Scenario1,5,Model,Model,[Object],Run,Costs,TotalCost,Total,0
Scenario1,6,Model,Model,[Object],Run,Costs,TotalCost,Total,0
Scenario1,7,Model,Model,[Object],Run,Costs,TotalCost,Total,0
Scenario1,8,Model,Model,[Object],Run,Costs,TotalCost,Total,0
Scenario1,9,Model,Model,[Object],Run,Costs,TotalCost,Total,0
Scenario1,10,Model,Model,[Object],Run,Costs,TotalCost,Total,0
Scenario1,1,ModelEntity,DefaultEntity,[Population],Run,Content,NumberInSystem,Average,5.42020951144513
Scenario1,2,ModelEntity,DefaultEntity,[Population],Run,Content,NumberInSystem,Average,5.3522897536238
Scenario1,3,ModelEntity,DefaultEntity,[Population],Run,Content,NumberInSystem,Average,5.38272300559841
Scenario1,4,ModelEntity,DefaultEntity,[Population],Run,Content,NumberInSystem,Average,5.42424481469433
Scenario1,5,ModelEntity,DefaultEntity,[Population],Run,Content,NumberInSystem,Average,5.36076660349904
Scenario1,6,ModelEntity,DefaultEntity,[Population],Run,Content,NumberInSystem,Average,5.36770191784738
Scenario1,7,ModelEntity,DefaultEntity,[Population],Run,Content,NumberInSystem,Average,5.35494868151158
Scenario1,8,ModelEntity,DefaultEntity,[Population],Run,Content,NumberInSystem,Average,5.4861395918358
Scenario1,9,ModelEntity,DefaultEntity,[Population],Run,Content,NumberInSystem,Average,5.51284700107022
Scenario1,10,ModelEntity,DefaultEntity,[Population],Run,Content,NumberInSystem,Average,5.40040572362801
Scenario1,1,ModelEntity,DefaultEntity,[Population],Run,Content,NumberInSystem,Maximum,10
Scenario1,2,ModelEntity,DefaultEntity,[Population],Run,Content,NumberInSystem,Maximum,10
Scenario1,3,ModelEntity,DefaultEntity,[Population],Run,Content,NumberInSystem,Maximum,10
Scenario1,4,ModelEntity,DefaultEntity,[Population],Run,Content,NumberInSystem,Maximum,10
Scenario1,5,ModelEntity,DefaultEntity,[Population],Run,Content,NumberInSystem,Maximum,10
Scenario1,6,ModelEntity,DefaultEntity,[Population],Run,Content,NumberInSystem,Maximum,10
Scenario1,7,ModelEntity,DefaultEntity,[Population],Run,Content,NumberInSystem,Maximum,10
Scenario1,8,ModelEntity,DefaultEntity,[Population],Run,Content,NumberInSystem,Maximum,10
Scenario1,9,ModelEntity,DefaultEntity,[Population],Run,Content,NumberInSystem,Maximum,10
Scenario1,10,ModelEntity,DefaultEntity,[Population],Run,Content,NumberInSystem,Maximum,10
Scenario1,1,ModelEntity,DefaultEntity,[Population],Run,Content,NumberInSystem,Minimum,0
Scenario1,2,ModelEntity,DefaultEntity,[Population],Run,Content,NumberInSystem,Minimum,0
Scenario1,3,ModelEntity,DefaultEntity,[Population],Run,Content,NumberInSystem,Minimum,0
Scenario1,4,ModelEntity,DefaultEntity,[Population],Run,Content,NumberInSystem,Minimum,0
Scenario1,5,ModelEntity,DefaultEntity,[Population],Run,Content,NumberInSystem,Minimum,0
Scenario1,6,ModelEntity,DefaultEntity,[Population],Run,Content,NumberInSystem,Minimum,0
Scenario1,7,ModelEntity,DefaultEntity,[Population],Run,Content,NumberInSystem,Minimum,0
Scenario1,8,ModelEntity,DefaultEntity,[Population],Run,Content,NumberInSystem,Minimum,0
Scenario1,9,ModelEntity,DefaultEntity,[Population],Run,Content,NumberInSystem,Minimum,0
Scenario1,10,ModelEntity,DefaultEntity,[Population],Run,Content,NumberInSystem,Minimum,0
Scenario1,1,ModelEntity,DefaultEntity,[Population],Run,Costs,CostPerItem,Average,0
